config.attack,config.attack_params.alpha,config.attack_params.clamp,config.attack_params.connect_strategy,config.attack_params.early_stop,config.attack_params.edges_per_injected,config.attack_params.eps,config.attack_params.init,config.attack_params.n_inject,config.attack_params.random_start,config.attack_params.seed,config.attack_params.steps,config.attack_params.target_label,config.attack_params.targeted,config.budgets.edge_budget,config.budgets.n_inject,config.candidates.K_hop,config.candidates.alpha,config.candidates.neighbor_mode,config.clamp,config.desired_label,config.device,config.graph.attack_incoming,config.graph.undirected,config.model_name,config.opt.alpha_step,config.opt.eps,config.opt.inner_steps,config.opt.outer_rounds,config.seed,config.split,config.target_selection.attack_fraction,config.target_selection.attack_only_illicit,config.target_selection.n_targets,config.target_selection.only_clean_correct,config.target_selection.seed,config.timestamp,metrics.adv_split_metrics.acc,metrics.adv_split_metrics.confusion_matrix_2x2,metrics.adv_split_metrics.f1_macro,metrics.adv_split_metrics.f1_pos,metrics.adv_split_metrics.fraud_predictions,metrics.adv_split_metrics.n_labeled,metrics.adv_split_metrics.precision_macro,metrics.adv_split_metrics.precision_pos,metrics.adv_split_metrics.recall_macro,metrics.adv_split_metrics.recall_pos,metrics.adv_split_metrics.split,metrics.asr.attacked.attempted,metrics.asr.attacked.success,metrics.asr.attacked.value,metrics.asr.attempted,metrics.asr.pos_neg_on_attacked.asr_neg,metrics.asr.pos_neg_on_attacked.asr_pos,metrics.asr.pos_neg_on_attacked.attempted_neg,metrics.asr.pos_neg_on_attacked.attempted_pos,metrics.asr.pos_neg_on_attacked.succ_neg,metrics.asr.pos_neg_on_attacked.succ_pos,metrics.asr.split.attempted,metrics.asr.split.success,metrics.asr.split.value,metrics.asr.success,metrics.asr.value,metrics.asr_pos_neg.asr_neg,metrics.asr_pos_neg.asr_pos,metrics.asr_pos_neg.attempted_neg,metrics.asr_pos_neg.attempted_pos,metrics.asr_pos_neg.succ_neg,metrics.asr_pos_neg.succ_pos,metrics.attack,metrics.attack_mask_n,metrics.clean_split_metrics.acc,metrics.clean_split_metrics.confusion_matrix_2x2,metrics.clean_split_metrics.f1_macro,metrics.clean_split_metrics.f1_pos,metrics.clean_split_metrics.fraud_predictions,metrics.clean_split_metrics.n_labeled,metrics.clean_split_metrics.precision_macro,metrics.clean_split_metrics.precision_pos,metrics.clean_split_metrics.recall_macro,metrics.clean_split_metrics.recall_pos,metrics.clean_split_metrics.split,metrics.f1.macro_adv,metrics.f1.macro_clean,metrics.f1.pos_adv,metrics.f1.pos_clean,metrics.injection.edges_added,metrics.injection.injected_edges,metrics.injection.injected_node_ids,metrics.injection.n_injected_nodes,metrics.mean_confidence_drop.n,metrics.mean_confidence_drop.value,metrics.model_name,metrics.n_targets,metrics.roc_auc.adv,metrics.roc_auc.clean,metrics.split,run_dir
FGSM,,,,,,0.01,,,,,,0,False,,,,,,,,mps,,,gat,,,,,,test,1.0,True,207,True,0,20260120_192137_421294,0.9661802963465671,"[[8348, 85], [214, 194]]",0.7735904857709242,0.5647743813682679,279,8841,0.8351731707745904,0.6953405017921147,0.7327053731489038,0.47549019607843135,test,,,,207,,,,,,,,,,13,0.06280193236714976,0.0,0.06280193236714976,0,207,0,13,FGSM,207,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7735904857709242,0.7872936049935225,0.5647743813682679,0.5914285714285714,,,,,207,0.03466254100203514,gat,207,0.8749293740975578,0.8760858369198504,test,attacks/gat_fgsm_20260120_192137_421294
FGSM,,,,,,0.03,,,,,,0,False,,,,,,,,mps,,,gat,,,,,,test,1.0,True,207,True,0,20260120_192155_382974,0.9641443275647551,"[[8348, 85], [232, 176]]",0.7537628176184975,0.5261584454409567,261,8841,0.8236449374380409,0.6743295019157088,0.710646549619492,0.43137254901960786,test,,,,207,,,,,,,,,,31,0.1497584541062802,0.0,0.1497584541062802,0,207,0,31,FGSM,207,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7537628176184975,0.7872936049935225,0.5261584454409567,0.5914285714285714,,,,,207,0.1425851583480835,gat,207,0.8688979801573185,0.8760858369198504,test,attacks/gat_fgsm_20260120_192155_382974
FGSM,,,,,,0.05,,,,,,0,False,,,,,,,,mps,,,gat,,,,,,test,1.0,True,207,True,0,20260120_192211_695150,0.9601854993778984,"[[8348, 85], [267, 141]]",0.71207368469358,0.444794952681388,226,8841,0.7964506751447105,0.6238938053097345,0.667754392756747,0.34558823529411764,test,,,,207,,,,,,,,,,66,0.3188405797101449,0.0,0.3188405797101449,0,207,0,66,FGSM,207,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.71207368469358,0.7872936049935225,0.444794952681388,0.5914285714285714,,,,,207,0.3085874915122986,gat,207,0.8536084895241152,0.8760858369198504,test,attacks/gat_fgsm_20260120_192211_695150
FGSM,,,,,,0.1,,,,,,0,False,,,,,,,,mps,,,gat,,,,,,test,1.0,True,207,True,0,20260120_192227_948689,0.9507974211062097,"[[8348, 85], [350, 58]]",0.5925668762999672,0.21052631578947367,143,8841,0.6826776350804863,0.40559440559440557,0.5660387064822372,0.14215686274509803,test,,,,207,,,,,,,,,,149,0.7198067632850241,0.0,0.7198067632850241,0,207,0,149,FGSM,207,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.5925668762999672,0.7872936049935225,0.21052631578947367,0.5914285714285714,,,,,207,0.6337977051734924,gat,207,0.7490807007019575,0.8760858369198504,test,attacks/gat_fgsm_20260120_192227_948689
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,20,5,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_202706_722106,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,20,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203772, 203773], [203773, 203772], [203770, 203773], [203773, 203770], [203769, 203773], [203773, 203769], [203769, 203770], [203770, 203769], [203770, 203771], [203771, 203770], [203772, 203770], [203770, 203772], [203772, 203771], [203771, 203772], [203769, 203771]]","[203769, 203770, 203771, 203772, 203773]",5,207,0.004194656852632761,gat,207,0.8755010660732928,0.8760858369198504,test,attacks/gat_monti_20260120_202706_722106
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,50,5,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_203742_367806,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,50,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203769, 203771], [203769, 203772], [203769, 203773], [203771, 203769], [203771, 203772], [203771, 203773], [203772, 203769], [203772, 203771], [203772, 203773], [203773, 203769], [203773, 203771], [203773, 203772], [203769, 203770], [203770, 203769], [203770, 203771], [203770, 203772], [203770, 203773], [203771, 203770], [203772, 203770], [203773, 203770], [203770, 79245], [203769, 79245], [203771, 79245], [203772, 79245], [203773, 79245], [203770, 78190], [203769, 78190], [203771, 78190], [203772, 78190], [203773, 78190], [203770, 30520], [203770, 47876], [203769, 30520], [203771, 30520], [203772, 30520], [203773, 30520], [203769, 47876], [203771, 47876], [203772, 47876], [203773, 47876], [203770, 99996], [203770, 42305], [203769, 99996], [203771, 99996], [203772, 99996]]","[203769, 203770, 203771, 203772, 203773]",5,207,0.004356152378022671,gat,207,0.8749128075278493,0.8760858369198504,test,attacks/gat_monti_20260120_203742_367806
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,100,5,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_204658_950618,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,100,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203769, 203770], [203769, 203771], [203769, 203772], [203769, 203773], [203770, 203769], [203770, 203771], [203770, 203772], [203770, 203773], [203771, 203769], [203771, 203770], [203771, 203772], [203771, 203773], [203772, 203769], [203772, 203770], [203772, 203771], [203772, 203773], [203773, 203769], [203773, 203770], [203773, 203771], [203773, 203772], [203769, 79245], [203770, 79245], [203771, 79245], [203772, 79245], [203773, 79245], [203769, 78190], [203770, 78190], [203771, 78190], [203772, 78190], [203773, 78190], [203769, 30520], [203770, 30520], [203771, 30520], [203772, 30520], [203773, 30520], [203769, 47876], [203770, 47876], [203771, 47876], [203772, 47876], [203773, 47876], [203769, 99996], [203770, 99996], [203771, 99996], [203772, 99996], [203773, 99996], [203769, 42305], [203770, 42305], [203771, 42305], [203772, 42305], [203773, 42305], [203769, 25768], [203770, 25768], [203771, 25768], [203772, 25768], [203773, 25768], [203769, 3680], [203770, 3680], [203771, 3680], [203772, 3680], [203773, 3680], [203769, 4290], [203770, 4290], [203771, 4290], [203772, 4290], [203773, 4290], [203769, 95181], [203770, 95181], [203771, 95181], [203772, 95181], [203773, 95181], [203769, 18145], [203770, 18145], [203771, 18145], [203772, 18145], [203773, 18145], [203769, 18388], [203770, 18388], [203771, 18388], [203772, 18388], [203773, 18388], [203769, 34009], [203770, 34009], [203771, 34009], [203772, 34009], [203773, 34009], [203769, 17387], [203770, 17387], [203771, 17387], [203772, 17387], [203773, 17387], [203769, 7020], [203770, 7020], [203771, 7020], [203772, 7020], [203773, 7020]]","[203769, 203770, 203771, 203772, 203773]",5,207,0.004592338111251593,gat,207,0.8750636505046699,0.8760858369198503,test,attacks/gat_monti_20260120_204658_950618
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,20,10,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_205603_167134,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,20,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203774, 100879], [203775, 100879], [203776, 100879], [203777, 100879], [203778, 100879], [203770, 203775], [203775, 203770], [203770, 203777], [203777, 203770], [203776, 203775], [203775, 203776], [203776, 203774], [203774, 203776], [203772, 203773], [203773, 203772]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,207,0.004219487775117159,gat,207,0.8752598335670092,0.8760858369198504,test,attacks/gat_monti_20260120_205603_167134
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,50,10,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_210436_159957,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,50,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203774, 100879], [203775, 100879], [203776, 100879], [203777, 100879], [203778, 100879], [203770, 203775], [203775, 203770], [203770, 203777], [203777, 203770], [203776, 203775], [203775, 203776], [203776, 203774], [203774, 203776], [203772, 203773], [203773, 203772], [203771, 203774], [203774, 203771], [203770, 203773], [203773, 203770], [203777, 203775], [203775, 203777], [203772, 203776], [203776, 203772], [203777, 203774], [203774, 203777], [203774, 203775], [203775, 203774], [203771, 203775], [203775, 203771], [203771, 203777], [203777, 203771], [203772, 203775], [203775, 203772], [203773, 203775], [203775, 203773], [203772, 203778], [203778, 203772], [203771, 203776], [203776, 203771], [203776, 203777], [203777, 203776], [203770, 203776], [203776, 203770], [203772, 203777], [203777, 203772]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,207,0.004219598602503538,gat,207,0.87525838035914,0.8760858369198504,test,attacks/gat_monti_20260120_210436_159957
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,100,10,2,500,undirected,,0,mps,True,False,gat,0.01,0.05,30,3,0,test,1.0,True,207,True,,20260120_211326_922245,0.9675376088677752,"[[8348, 85], [202, 206]]",0.7862570977945883,0.5894134477825465,291,8841,0.8421390245372883,0.7079037800687286,0.7474112555018451,0.5049019607843137,test,207,1,0.004830917874396135,,0.0,0.004830917874396135,0,207,0,1,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,0.9676507182445425,"[[8348, 85], [201, 207]]",0.7872936049935225,0.5914285714285714,292,8841,0.842696293886812,0.708904109589041,0.7486367456979235,0.5073529411764706,test,0.7862570977945883,0.7872936049935225,0.5894134477825465,0.5914285714285714,100,"[[203769, 100879], [203770, 100879], [203771, 100879], [203772, 100879], [203773, 100879], [203774, 100879], [203775, 100879], [203776, 100879], [203777, 100879], [203778, 100879], [203770, 203775], [203775, 203770], [203770, 203777], [203777, 203770], [203776, 203775], [203775, 203776], [203776, 203774], [203774, 203776], [203772, 203773], [203773, 203772], [203771, 203774], [203774, 203771], [203770, 203773], [203773, 203770], [203777, 203775], [203775, 203777], [203772, 203776], [203776, 203772], [203777, 203774], [203774, 203777], [203774, 203775], [203775, 203774], [203771, 203775], [203775, 203771], [203771, 203777], [203777, 203771], [203772, 203775], [203775, 203772], [203773, 203775], [203775, 203773], [203772, 203778], [203778, 203772], [203771, 203776], [203776, 203771], [203776, 203777], [203777, 203776], [203770, 203776], [203776, 203770], [203772, 203777], [203777, 203772], [203769, 203776], [203776, 203769], [203769, 203774], [203774, 203769], [203773, 203777], [203777, 203773], [203776, 203778], [203778, 203776], [203769, 203773], [203773, 203769], [203769, 203778], [203778, 203769], [203775, 203778], [203778, 203775], [203778, 203774], [203774, 203778], [203769, 203770], [203770, 203769], [203772, 203774], [203774, 203772], [203770, 203771], [203771, 203770], [203773, 203774], [203774, 203773], [203770, 203774], [203774, 203770], [203772, 203770], [203770, 203772], [203773, 203776], [203776, 203773], [203777, 203778], [203778, 203777], [203772, 203771], [203771, 203772], [203769, 203771], [203771, 203769], [203769, 203775], [203775, 203769], [203773, 203778], [203778, 203773], [203770, 203778], [203778, 203770], [203771, 203778], [203778, 203771], [203769, 203777], [203777, 203769], [203771, 203773], [203773, 203771], [203772, 203769], [203769, 203772]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,207,0.0042190044187009335,gat,207,0.8752656463984859,0.8760858369198504,test,attacks/gat_monti_20260120_211326_922245
