config.attack,config.attack_params.allow_removals,config.attack_params.alpha,config.attack_params.attack_incoming,config.attack_params.clamp,config.attack_params.connect_strategy,config.attack_params.early_stop,config.attack_params.edges_per_injected,config.attack_params.eps,config.attack_params.init,config.attack_params.n_inject,config.attack_params.n_perturbations,config.attack_params.random_start,config.attack_params.sample_size,config.attack_params.seed,config.attack_params.steps,config.attack_params.target_label,config.attack_params.targeted,config.attack_params.undirected,config.budgets.edge_budget,config.budgets.n_inject,config.candidates.K_hop,config.candidates.alpha,config.candidates.neighbor_mode,config.clamp,config.desired_label,config.device,config.graph.attack_incoming,config.graph.undirected,config.model_name,config.opt.alpha_step,config.opt.eps,config.opt.inner_steps,config.opt.outer_rounds,config.seed,config.split,config.target_selection.attack_fraction,config.target_selection.attack_only_illicit,config.target_selection.max_targets,config.target_selection.n_targets,config.target_selection.only_clean_correct,config.target_selection.seed,config.timestamp,metrics.adv_split_metrics.acc,metrics.adv_split_metrics.confusion_matrix_2x2,metrics.adv_split_metrics.f1_macro,metrics.adv_split_metrics.f1_pos,metrics.adv_split_metrics.fraud_predictions,metrics.adv_split_metrics.n_labeled,metrics.adv_split_metrics.precision_macro,metrics.adv_split_metrics.precision_pos,metrics.adv_split_metrics.recall_macro,metrics.adv_split_metrics.recall_pos,metrics.adv_split_metrics.split,metrics.asr,metrics.asr.attacked.attempted,metrics.asr.attacked.success,metrics.asr.attacked.value,metrics.asr.attempted,metrics.asr.pos_neg_on_attacked.asr_neg,metrics.asr.pos_neg_on_attacked.asr_pos,metrics.asr.pos_neg_on_attacked.attempted_neg,metrics.asr.pos_neg_on_attacked.attempted_pos,metrics.asr.pos_neg_on_attacked.succ_neg,metrics.asr.pos_neg_on_attacked.succ_pos,metrics.asr.split.attempted,metrics.asr.split.success,metrics.asr.split.value,metrics.asr.success,metrics.asr.value,metrics.asr_pos_neg.asr_neg,metrics.asr_pos_neg.asr_pos,metrics.asr_pos_neg.attempted_neg,metrics.asr_pos_neg.attempted_pos,metrics.asr_pos_neg.succ_neg,metrics.asr_pos_neg.succ_pos,metrics.attack,metrics.attack_mask_n,metrics.attempted_clean_correct,metrics.clean_split_metrics.acc,metrics.clean_split_metrics.confusion_matrix_2x2,metrics.clean_split_metrics.f1_macro,metrics.clean_split_metrics.f1_pos,metrics.clean_split_metrics.fraud_predictions,metrics.clean_split_metrics.n_labeled,metrics.clean_split_metrics.precision_macro,metrics.clean_split_metrics.precision_pos,metrics.clean_split_metrics.recall_macro,metrics.clean_split_metrics.recall_pos,metrics.clean_split_metrics.split,metrics.f1.macro_adv,metrics.f1.macro_clean,metrics.f1.pos_adv,metrics.f1.pos_clean,metrics.injection.edges_added,metrics.injection.injected_edges,metrics.injection.injected_node_ids,metrics.injection.n_injected_nodes,metrics.mean_confidence_drop.n,metrics.mean_confidence_drop.value,metrics.mean_confidence_drop_clean_correct.n,metrics.mean_confidence_drop_clean_correct.value,metrics.model_name,metrics.n_targets,metrics.roc_auc.adv,metrics.roc_auc.clean,metrics.split,metrics.success,run_dir
FGSM,,,,,,,,0.01,,,,,,,,0,False,,,,,,,,,mps,,,graphsage,,,,,,test,1.0,True,,183,True,0,20260120_211600_786752,0.9686687026354485,"[[8388, 45], [232, 176]]",0.7716874828750953,0.5596184419713831,221,8841,0.8847329686827434,0.7963800904977375,0.7130181848619918,0.43137254901960786,test,,,,,183,,,,,,,,,,7,0.03825136612021858,0.0,0.03825136612021858,0,183,0,7,FGSM,183,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.7716874828750953,0.779816102488494,0.5596184419713831,0.5754716981132075,,,,,183,0.034991804510354996,,,graphsage,183,0.8478181827693725,0.8480425580643736,test,,attacks/graphsage_fgsm_20260120_211600_786752
FGSM,,,,,,,,0.03,,,,,,,,0,False,,,,,,,,,mps,,,graphsage,,,,,,test,1.0,True,,183,True,0,20260120_211602_045830,0.9660671869697998,"[[8388, 45], [255, 153]]",0.743690988916179,0.504950495049505,198,8841,0.8716118140797071,0.7727272727272727,0.6848319103521878,0.375,test,,,,,183,,,,,,,,,,30,0.16393442622950818,0.0,0.16393442622950818,0,183,0,30,FGSM,183,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.743690988916179,0.779816102488494,0.504950495049505,0.5754716981132075,,,,,183,0.134416401386261,,,graphsage,183,0.8467896022395678,0.8480425580643736,test,,attacks/graphsage_fgsm_20260120_211602_045830
FGSM,,,,,,,,0.05,,,,,,,,0,False,,,,,,,,,mps,,,graphsage,,,,,,test,1.0,True,,183,True,0,20260120_211603_290132,0.9632394525506165,"[[8388, 45], [280, 128]]",0.7108074423886999,0.4406196213425129,173,8841,0.8537908352027657,0.7398843930635838,0.654194655450227,0.3137254901960784,test,,,,,183,,,,,,,,,,55,0.3005464480874317,0.0,0.3005464480874317,0,183,0,55,FGSM,183,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.7108074423886999,0.779816102488494,0.4406196213425129,0.5754716981132075,,,,,183,0.2712084650993347,,,graphsage,183,0.8438346493583797,0.8480425580643736,test,,attacks/graphsage_fgsm_20260120_211603_290132
FGSM,,,,,,,,0.1,,,,,,,,0,False,,,,,,,,,mps,,,graphsage,,,,,,test,1.0,True,,183,True,0,20260120_211604_530158,0.9520416242506504,"[[8388, 45], [379, 29]]",0.5478403937083856,0.12033195020746888,74,8841,0.6743307982329312,0.3918918918918919,0.5328711260384623,0.07107843137254902,test,,,,,183,,,,,,,,,,154,0.8415300546448088,0.0,0.8415300546448088,0,183,0,154,FGSM,183,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.5478403937083856,0.779816102488494,0.12033195020746888,0.5754716981132075,,,,,183,0.6649069786071777,,,graphsage,183,0.8112897684865479,0.8480425580643736,test,,attacks/graphsage_fgsm_20260120_211604_530158
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,20,5,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_211903_211762,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,20,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203770, 203773], [203773, 203770], [203769, 203772], [203772, 203769], [203770, 203769], [203770, 203772], [203773, 203769], [203773, 203772], [203769, 203770], [203769, 203773], [203772, 203770], [203772, 203773], [203770, 203771], [203771, 203770], [203771, 203773]]","[203769, 203770, 203771, 203772, 203773]",5,183,0.00023860846704337746,,,graphsage,183,0.8480413954980782,0.8480425580643736,test,,attacks/graphsage_monti_20260120_211903_211762
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,50,5,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_211944_330467,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,50,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203769, 203771], [203769, 203772], [203769, 203773], [203771, 203769], [203771, 203772], [203771, 203773], [203772, 203769], [203772, 203771], [203772, 203773], [203773, 203769], [203773, 203771], [203773, 203772], [203770, 203769], [203770, 203771], [203770, 203772], [203770, 203773], [203769, 203770], [203771, 203770], [203772, 203770], [203773, 203770], [203770, 22273], [203769, 22273], [203771, 22273], [203772, 22273], [203773, 22273], [203770, 47580], [203769, 47580], [203771, 47580], [203772, 47580], [203773, 47580], [203770, 79245], [203770, 761], [203769, 79245], [203771, 79245], [203772, 79245], [203773, 79245], [203770, 77885], [203770, 22731], [203769, 761], [203771, 761], [203772, 761], [203773, 761], [203769, 77885], [203771, 77885], [203772, 77885]]","[203769, 203770, 203771, 203772, 203773]",5,183,0.0003004862228408456,,,graphsage,183,0.8480411048565044,0.8480425580643736,test,,attacks/graphsage_monti_20260120_211944_330467
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,100,5,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_212025_510646,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,100,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203769, 203770], [203769, 203771], [203769, 203772], [203769, 203773], [203770, 203769], [203770, 203771], [203770, 203772], [203770, 203773], [203771, 203769], [203771, 203770], [203771, 203772], [203771, 203773], [203772, 203769], [203772, 203770], [203772, 203771], [203772, 203773], [203773, 203769], [203773, 203770], [203773, 203771], [203773, 203772], [203769, 22273], [203770, 22273], [203771, 22273], [203772, 22273], [203773, 22273], [203769, 47580], [203770, 47580], [203771, 47580], [203772, 47580], [203773, 47580], [203769, 79245], [203770, 79245], [203771, 79245], [203772, 79245], [203773, 79245], [203769, 761], [203770, 761], [203771, 761], [203772, 761], [203773, 761], [203769, 77885], [203770, 77885], [203771, 77885], [203772, 77885], [203773, 77885], [203769, 22731], [203770, 22731], [203771, 22731], [203772, 22731], [203773, 22731], [203769, 42598], [203770, 42598], [203771, 42598], [203772, 42598], [203773, 42598], [203769, 43416], [203770, 43416], [203771, 43416], [203772, 43416], [203773, 43416], [203769, 25560], [203770, 25560], [203771, 25560], [203772, 25560], [203773, 25560], [203769, 11587], [203770, 11587], [203771, 11587], [203772, 11587], [203773, 11587], [203769, 46808], [203770, 46808], [203771, 46808], [203772, 46808], [203773, 46808], [203769, 43011], [203770, 43011], [203771, 43011], [203772, 43011], [203773, 43011], [203769, 43417], [203770, 43417], [203771, 43417], [203772, 43417], [203773, 43417], [203769, 22822], [203770, 22822], [203771, 22822], [203772, 22822], [203773, 22822], [203769, 43411], [203770, 43411], [203771, 43411], [203772, 43411], [203773, 43411]]","[203769, 203770, 203771, 203772, 203773]",5,183,0.0007851176196709275,,,graphsage,183,0.8477803993647738,0.8480425580643736,test,,attacks/graphsage_monti_20260120_212025_510646
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,20,10,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_212108_429907,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,20,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203774, 42913], [203775, 42913], [203776, 42913], [203777, 42913], [203778, 42913], [203774, 203777], [203777, 203774], [203769, 203771], [203769, 203773], [203769, 203778], [203771, 203769], [203771, 203773], [203771, 203778], [203773, 203769], [203773, 203771]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,183,0.0002998204727191478,,,graphsage,183,0.8480411048565044,0.8480425580643736,test,,attacks/graphsage_monti_20260120_212108_429907
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,50,10,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_212151_506045,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,50,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203774, 42913], [203775, 42913], [203776, 42913], [203777, 42913], [203778, 42913], [203769, 203772], [203769, 203775], [203769, 203778], [203772, 203769], [203772, 203775], [203772, 203778], [203775, 203769], [203775, 203772], [203775, 203778], [203778, 203769], [203778, 203772], [203778, 203775], [203770, 203771], [203770, 203774], [203770, 203777], [203771, 203770], [203771, 203774], [203771, 203777], [203774, 203770], [203774, 203771], [203774, 203777], [203777, 203770], [203777, 203771], [203777, 203774], [203769, 203770], [203769, 203771], [203769, 203774], [203769, 203777], [203772, 203770], [203772, 203771], [203772, 203774], [203772, 203777], [203775, 203770], [203775, 203771], [203775, 203774], [203775, 203777], [203778, 203770], [203778, 203771], [203778, 203774], [203778, 203777]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,183,0.00030627864180132747,,,graphsage,183,0.8480411048565044,0.8480425580643736,test,,attacks/graphsage_monti_20260120_212151_506045
MonTiOneTimeInjectionAttack (practical adaptation),,,,,,,,,,,,,,,,,,,100,10,2,500,undirected,,0,mps,True,False,graphsage,0.01,0.05,30,3,0,test,1.0,True,,183,True,,20260120_212234_267845,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,,183,0,0.0,,0.0,0.0,0,183,0,0,,,,,,,,,,,,MonTiOneTimeInjectionAttack (practical adaptation),,,0.9694604682728198,"[[8388, 45], [225, 183]]",0.779816102488494,0.5754716981132075,228,8841,0.8882541384809988,0.8026315789473685,0.7215966162345407,0.4485294117647059,test,0.779816102488494,0.779816102488494,0.5754716981132075,0.5754716981132075,100,"[[203769, 42913], [203770, 42913], [203771, 42913], [203772, 42913], [203773, 42913], [203774, 42913], [203775, 42913], [203776, 42913], [203777, 42913], [203778, 42913], [203769, 203770], [203769, 203771], [203769, 203772], [203769, 203773], [203769, 203774], [203769, 203775], [203769, 203776], [203769, 203777], [203769, 203778], [203770, 203769], [203770, 203771], [203770, 203772], [203770, 203773], [203770, 203774], [203770, 203775], [203770, 203776], [203770, 203777], [203770, 203778], [203771, 203769], [203771, 203770], [203771, 203772], [203771, 203773], [203771, 203774], [203771, 203775], [203771, 203776], [203771, 203777], [203771, 203778], [203772, 203769], [203772, 203770], [203772, 203771], [203772, 203773], [203772, 203774], [203772, 203775], [203772, 203776], [203772, 203777], [203772, 203778], [203773, 203769], [203773, 203770], [203773, 203771], [203773, 203772], [203773, 203774], [203773, 203775], [203773, 203776], [203773, 203777], [203773, 203778], [203774, 203769], [203774, 203770], [203774, 203771], [203774, 203772], [203774, 203773], [203774, 203775], [203774, 203776], [203774, 203777], [203774, 203778], [203775, 203769], [203775, 203770], [203775, 203771], [203775, 203772], [203775, 203773], [203775, 203774], [203775, 203776], [203775, 203777], [203775, 203778], [203776, 203769], [203776, 203770], [203776, 203771], [203776, 203772], [203776, 203773], [203776, 203774], [203776, 203775], [203776, 203777], [203776, 203778], [203777, 203769], [203777, 203770], [203777, 203771], [203777, 203772], [203777, 203773], [203777, 203774], [203777, 203775], [203777, 203776], [203777, 203778], [203778, 203769], [203778, 203770], [203778, 203771], [203778, 203772], [203778, 203773], [203778, 203774], [203778, 203775], [203778, 203776], [203778, 203777]]","[203769, 203770, 203771, 203772, 203773, 203774, 203775, 203776, 203777, 203778]",10,183,0.0003112427657470107,,,graphsage,183,0.8480411048565044,0.8480425580643736,test,,attacks/graphsage_monti_20260120_212234_267845
